Duration,log_votes,movie_age,Year,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_mystery,genre_adventure,director_encoded,director_movie_count,actor_1_encoded,actor_1_movie_count,actor_2_encoded,actor_2_movie_count,actor_3_encoded,actor_3_movie_count,Rating
99,1.9459101490553132,11,2015,1,0,0,0,0,0,0,0,0,1,5.764806038265753,1,5.785605109301792,3,5.764806038265753,1,5.764806038265753,1,4.3
109,5.476463551931511,11,2015,1,1,0,0,0,0,0,0,0,0,5.90116967462939,1,5.901072201743607,2,5.90116967462939,1,6.017738868410274,2,5.8
140,8.383433201236713,20,2006,0,0,0,1,0,1,0,0,1,0,5.825459515032975,18,5.825459515032975,18,5.9695541513077055,6,5.8043410161893565,16,5.7
122,5.973809611869261,45,1981,1,0,1,0,0,0,0,0,0,0,6.2508041513077055,6,6.055715129174845,1,6.055715129174845,1,6.055715129174845,1,7.5
128,5.53338948872752,6,2020,0,0,0,0,1,1,0,0,0,0,5.89207876553848,1,5.89207876553848,1,5.89207876553848,1,5.89207876553848,1,5.7
93,4.543294782270004,7,2019,1,0,0,0,0,0,0,0,0,0,6.016374340071023,3,5.805643321046165,10,6.017738868410274,2,6.100804151307706,6,5.6
102,4.394449154672439,41,1985,0,0,0,0,0,0,0,0,0,0,5.593762214030777,20,5.8264024600341955,17,5.83440553507694,2,5.962528186224868,3,5.6
125,7.029087564149662,13,2013,0,0,0,0,0,1,0,0,0,0,5.6177388684102745,2,5.6177388684102745,2,5.593297416994099,3,5.851072201743608,2,3.6
145,1.9459101490553132,7,2019,0,0,0,0,0,0,0,0,0,0,5.946624220083936,1,5.946624220083936,1,5.6937761729230925,4,5.946624220083936,1,6.3
121,7.8434564043761155,15,2011,1,0,0,0,0,1,0,0,1,0,5.79419109472822,5,6.037533310993027,1,6.037533310993027,1,6.067738868410274,2,7.3
75,2.302585092994046,10,2016,1,0,0,0,0,0,0,0,0,0,5.810260583720299,1,5.810260583720299,1,5.810260583720299,1,5.810260583720299,1,4.8
113,3.091042453358316,14,2012,1,0,0,0,0,0,1,1,0,0,6.082987856447573,1,6.082987856447573,1,6.082987856447573,1,6.109405535076941,2,7.8
111,4.330733340286331,14,2012,0,0,0,0,0,1,0,0,0,0,5.793776172923093,4,5.739451263147946,3,5.667738868410274,2,6.139451263147945,3,5.7
134,3.6109179126442243,52,1974,0,1,0,1,0,0,0,0,0,0,6.167381467829071,8,5.964806038265754,1,6.1419333188778396,7,5.964806038265754,1,6.5
110,2.995732273553991,15,2011,0,1,0,0,0,0,0,0,0,1,5.792078765538481,1,5.792078765538481,1,5.792078765538481,1,5.792078765538481,1,4.6
104,5.147494476813453,12,2014,0,0,0,0,0,0,0,0,0,0,5.7557151291748445,1,5.734405535076941,2,5.7557151291748445,1,5.7557151291748445,1,4.2
92,3.4657359027997265,19,2007,1,0,0,0,0,0,0,0,0,0,6.093776172923092,4,5.937533310993026,1,5.937533310993026,1,5.917738868410274,2,6.2
136,5.641907070938114,21,2005,1,0,0,1,0,0,0,0,0,0,5.416374340071022,3,5.812521554171958,7,5.850536100871803,14,6.288304151307706,6,5.3
126,2.0794415416798357,38,1988,0,1,0,0,0,0,0,0,0,0,5.828442401902118,1,5.717738868410275,2,5.842738868410275,2,5.9317589554556385,3,5.0
115,5.988961416889864,10,2016,0,0,0,0,1,1,0,0,0,0,5.901072201743607,2,5.917738868410274,2,5.89207876553848,1,5.884405535076941,2,5.7
100,2.3978952727983707,20,2006,0,0,0,0,0,0,0,0,0,0,5.937533310993026,1,5.937533310993026,1,6.101072201743608,2,6.15775554385349,11,6.2
137,8.637816633739977,15,2011,1,0,0,0,0,1,0,0,1,0,6.505643321046165,10,5.90627035671796,8,5.928442401902117,1,5.907524428061553,5,6.1
